Size,Vintage,Wine,Locale,Country,Region,SubRegion,Appellation,Producer,Type,Color,Category,Varietal
750ml,2020,Agricola Punica Montessu Isola dei Nuraghi IGT,"Italy, Sardinia, Isola dei Nuraghi IGT",Italy,Sardinia,Unknown,Isola dei Nuraghi IGT,Agricola Punica,Red,Red,Dry,Carignan Blend
750ml,2022,Alkina Grenache Kin,"Australia, South Australia, Barossa",Australia,South Australia,Barossa,Barossa,Alkina,Red,Red,Dry,Grenache
750ml,2017,Anna Maria Abbona Barolo,"Italy, Piedmont, Langhe, Barolo",Italy,Piedmont,Langhe,Barolo,Anna Maria Abbona,Red,Red,Dry,Nebbiolo
750ml,2016,Anna Maria Abbona Barolo Bricco San Pietro,"Italy, Piedmont, Langhe, Barolo",Italy,Piedmont,Langhe,Barolo,Anna Maria Abbona,Red,Red,Dry,Nebbiolo
750ml,2019,Domaine des Ardoisières Argile Rouge,"France, Savoie, Vin des Allobroges",France,Savoie,Unknown,Vin des Allobroges,Domaine des Ardoisières,Red,Red,Dry,Gamay
750ml,2020,Babo Chianti,"Italy, Tuscany, Chianti",Italy,Tuscany,Chianti,Chianti,Babo,Red,Red,Dry,Sangiovese
750ml,2021,Babo Chianti,"Italy, Tuscany, Chianti",Italy,Tuscany,Chianti,Chianti,Babo,Red,Red,Dry,Sangiovese
750ml,2021,Baglio di Grìsi Grillo,"Italy, Sicily, Terre Siciliane",Italy,Sicily,Unknown,Terre Siciliane,Baglio di Grìsi,White,White,Dry,Grillo
750ml,2021,Baglio di Grìsi Nero d'Avola,"Italy, Sicily, Terre Siciliane",Italy,Sicily,Unknown,Terre Siciliane,Baglio di Grìsi,Red,Red,Dry,Nero d'Avola
750ml,1001,Bandini Prosecco,"Italy, Veneto / Friuli-Venezia Giulia, Prosecco",Italy,Veneto / Friuli-Venezia Giulia,Unknown,Prosecco,Bandini,White - Sparkling,White,Sparkling,Glera
750ml,2021,Samuel Billaud Bourgogne d'Or,"France, Burgundy, Bourgogne Blanc",France,Burgundy,Unknown,Bourgogne Blanc,Samuel Billaud,White,White,Dry,Chardonnay
750ml,2022,Bleeding Heart Shiraz,"Australia, South Australia, Lower Murray",Australia,South Australia,Lower Murray,Unknown,Bleeding Heart,Red,Red,Dry,Shiraz
750ml,2021,Blind Corner Orange,"Australia, Western Australia, South West Australia, Margaret River",Australia,Western Australia,South West Australia,Margaret River,Blind Corner,Orange,Orange,Dry,White Blend
750ml,1001,Bonnaire Champagne Tradition Brut,"France, Champagne",France,Champagne,Unknown,Champagne,Bonnaire,White - Sparkling,White,Sparkling,Champagne Blend
750ml,2021,Bortolin Angelo Valdobbiadene Extra Dry,"Italy, Veneto, Valdobbiadene",Italy,Veneto,Unknown,Valdobbiadene,Bortolin Angelo,White - Sparkling,White,Sparkling,Glera
750ml,2020,Boutinot Uva Non Grata,"France, Vin de France",France,France,Unknown,Vin de France,Boutinot,Red,Red,Dry,Gamay
750ml,2020,Bruno Lafon Languedoc Un Jardin d'ete Rose,"France, Languedoc Roussillon, Languedoc",France,Languedoc Roussillon,Languedoc,Languedoc,Bruno Lafon,Rosé,Rosé,Dry,Cinsault
750ml,2021,Bubb + Pooley Riesling,"Australia, Tasmania, Coal River",Australia,Tasmania,Coal River,Unknown,Bubb + Pooley,White,White,Dry,Riesling
750ml,2021,By Farr Chardonnay,"Australia, Victoria, Port Phillip, Geelong",Australia,Victoria,Port Phillip,Geelong,By Farr,White,White,Dry,Chardonnay
750ml,2022,Byrne Farm Chardonnay,"Australia, New South Wales, Central Ranges, Orange",Australia,New South Wales,Central Ranges,Orange,Byrne Farm,White,White,Dry,Chardonnay
750ml,2015,Campo Viejo Rioja Gran Reserva,"Spain, La Rioja, Rioja",Spain,La Rioja,Unknown,Rioja,Campo Viejo,Red,Red,Dry,Tempranillo Blend
750ml,2020,Cantine Nicosia Etna Vulka Bianco,"Italy, Sicily, Etna DOC",Italy,Sicily,Unknown,Etna DOC,Cantine Nicosia,White,White,Dry,Catarratto
750ml,2019,Bodega Catena Zapata Malbec Catena High Mountain Vines,"Argentina, Mendoza",Argentina,Mendoza,Unknown,Unknown,Bodega Catena Zapata,Red,Red,Dry,Malbec
750ml,2018,Chalmers Schioppettino Dott.,"Australia, Victoria, Central Victoria, Heathcote",Australia,Victoria,Central Victoria,Heathcote,Chalmers,Red,Red,Dry,Schioppettino
750ml,2022,Chalmers Vermentino,"Australia, Victoria, Central Victoria, Heathcote",Australia,Victoria,Central Victoria,Heathcote,Chalmers,White,White,Dry,Vermentino
750ml,2021,Chatto Wines Pinot Noir Mania,"Australia, Tasmania, Tamar Valley",Australia,Tasmania,Unknown,Tamar Valley,Chatto Wines,Red,Red,Dry,Pinot Noir
