detection,sampler,samplecode,vintage,name,open_date,sampled_date,added_to_cellartracker,notes,size
raw,jonathan,00,2016,zema estate 'family selection' cabernet sauvignon,,,y,"freezer storage. sampled at 21:20 20230122, stored for 10h before transport to lab.",750
raw,jonathan,01,2022,william downie 'cathedral' pinot noir,,,y,ambient 2 weeks. sampled 20230111.,750
raw,jonathan,02,2021,babo chianti,,,y,ambient 2 weeks. sampled 20230111.,750
raw,jonathan,03,2021,joshua cooper shay's flat cabernet sauvignon,4/2/2023,,y,,750
raw,jonathan,05,2022,william downie 'cathedral' pinot noir,4/2/2023,,y,,750
raw,jonathan,06,2021,babo chianti,4/2/2023,,y,,750
raw,jonathan,07,2020,uva non grata gamay,4/2/2023,,y,,750
raw,jonathan,08,2021,hey malbec,4/2/2023,,y,,750
raw,jonathan,09,2018,crawford river cabernets,1/2/2023,,y,,750
raw,jonathan,10,2021,john duval concilio shiraz,6/2/2023,,y,,750
raw,jonathan,11,2021,joshua cooper shay's flat cabernet sauvignon,,,y,,750
raw,jonathan,12,2020,joseph faiveley bourgogne pinot noir,3/2/2023,,y,,750
raw,jonathan,13,2021,pithon-paille 'grololo',19/1/2023,,y,,750
raw,jonathan,14,null,,,,y,,750
raw,jonathan,15,2020,torbreck the struie,27/1/2023,,y,,750
raw,jonathan,16,2021,girolamo russo etna nerina,27/1/2023,,y,,750
raw,jonathan,17,2021,koerner wine nielluccio sangiovese,6/2/2023,,y,,750
raw,jonathan,18,null,"empty id, missing wine",,,y,,750
raw,jonathan,19,2021,by farr chardonnay,2/2/2023,,y,,750
raw,jonathan,20,2018,protero gumeracha nebbiolo,,,y,,750
raw,jonathan,21,2021,jim barry watervale riesling,6/2/2023,,y,,750
raw,jonathan,22,2019,kuenhof riesling,10/2/2023,,y,,750
raw,jonathan,23,2018,domaine des lises crozes-hermitage,10/2/2023,,y,,750
raw,jonathan,24,2022,stargazer riesling,9/2/2023,,y,,750
raw,jonathan,25,1001,nv ulysse collin champagne blanc de blancs extra brut les pierrières,13/2/2023,,y,,750
raw,jonathan,26,2016,anna maria abbona barolo bricco san pietro,10/2/2023,,y,,750
raw,jonathan,27,null,mystery,10/2/2023,,y,,750
raw,jonathan,28,2021,cullen wines mangan east block,9/2/2023,,y,,750
raw,jonathan,29,2008,torbreck descendant shiraz viognier,9/2/2023,,y,,750
raw,jonathan,30,2009,st hugo cabernet sauvignon,9/2/2023,,y,,750
raw,jonathan,31,2013,woodlands cabernet merlot,15/2/2023,,y,,750
raw,jonathan,32,2021,by farr chardonnay,,13/3/2023,y,,750
raw,jonathan,33,2021,pithon-paille 'grololo' rouge,,13/3/2023,y,,750
raw,jonathan,34,2020,uva non grata gamay,,13/3/2023,y,,750
raw,jonathan,35,2021,ciu ciu 'oris' falerio,,13/3/2023,y,,750
raw,jonathan,36,2021,nino barraco 'fior di bianco',,13/3/2023,y,,750
raw,jonathan,37,2022,dom. simha paysan fleur sauvage,,13/3/2023,y,,750
raw,jonathan,38,2018,crawford river cabernets,,13/3/2023,y,,750
raw,jonathan,39,2021,john duval concilio shiraz,,13/3/2023,y,,750
raw,jonathan,40,2020,joseph faiveley bourgogne rouge,,13/3/2023,y,,750
raw,jonathan,41,2021,st hugo grenache shiraz mataro,,13/3/2023,y,,750
raw,jonathan,42,2017,andrea oberto barolo,,13/3/2023,y,,750
raw,jonathan,43,2021,stoney rise pinot noir,,13/3/2023,y,,750
raw,jonathan,44,2021,girolamo russo etna nerina,,13/3/2023,y,,750
raw,jonathan,45,2022,Patrick Sullivan Jumping Juice Half Full,,13/3/2023,y,,750
raw,jonathan,46,2019,orlando 'steingarten' riesling,,13/3/2023,y,,750
raw,jonathan,47,2020,yangarra 'roux beaute' roussanne,,13/3/2023,y,,750
raw,jonathan,48,2020,babo chianti,,13/3/2023,y,potentially mislabelled,750
raw,jonathan,49,2020,matias riccitelli hey malbec,,13/3/2023,y,potentially mislabelled,750
raw,jonathan,50,2022,mt horrocks cordon cut riesling,,13/3/2023,y,"can't be this wine, didnt sample any sweet wines. vial contains a red wine that tastes like malbec.",750
raw,jonathan,51,2021,Domaine Gavoty Var La Cigale,,13/3/2023,y,,750
raw,jonathan,52,2022,vinden headcase 'pokolbin blanc',,13/3/2023,y,,750
raw,jonathan,53,2021,nick spencer 'tumbarumba' chardonnay,,13/3/2023,y,,750
raw,jonathan,54,2021,domaine fevre ac chablis,,13/3/2023,y,,750
raw,jonathan,55,1001,mumm tasmania brut prestige,,13/3/2023,y,,750
raw,jonathan,56,2022,yangarra estate rose,,13/3/2023,y,potentially mislabelled,750
raw,jonathan,57,2021,le pezze pinot grigio,,13/3/2023,y,,750
raw,jonathan,58,2021,pieropan soave,,16/3/2023,y,,750
raw,jonathan,59,2021,billaud d'or bourgogne blanc,,16/3/2023,y,,750
raw,jonathan,60,2017,anna maria abbona barolo,,16/3/2023,y,,750
raw,jonathan,61,2019,shaw and smith shiraz balhannah,,16/3/2023,y,,750
